time,site,et,hectares,megaliters
2016-01-28,US-Bi1,0.42,2.126,0.009
2016-01-28,US-Bi2,0.367,2.129,0.008
2016-01-28,US-Tw3,0.65,2.13,0.014
2016-01-28,US-Twt,0.359,2.125,0.008
2016-01-29,US-Bi1,0.317,2.126,0.007
2016-01-29,US-Bi2,0.274,2.129,0.006
2016-01-29,US-Tw3,0.411,2.13,0.009
2016-01-29,US-Twt,0.24,2.125,0.005
2016-01-30,US-Bi1,0.689,2.126,0.015
2016-01-30,US-Bi2,0.59,2.129,0.013
2016-01-30,US-Tw3,1.164,2.13,0.025
2016-01-30,US-Twt,0.713,2.125,0.015
2016-01-31,US-Bi1,1.225,2.126,0.026
2016-01-31,US-Bi2,1.039,2.129,0.022
2016-01-31,US-Tw3,2.017,2.13,0.043
2016-01-31,US-Twt,1.294,2.125,0.027
2016-02-01,US-Bi1,1.522,2.126,0.032
2016-02-01,US-Bi2,1.278,2.129,0.027
2016-02-01,US-Tw3,2.327,2.13,0.05
2016-02-01,US-Twt,1.56,2.125,0.033
2016-02-02,US-Bi1,1.235,2.126,0.026
2016-02-02,US-Bi2,1.027,2.129,0.022
2016-02-02,US-Tw3,1.976,2.13,0.042
2016-02-02,US-Twt,1.379,2.125,0.029
2016-02-03,US-Bi1,1.418,2.126,0.03
2016-02-03,US-Bi2,1.168,2.129,0.025
2016-02-03,US-Tw3,2.568,2.13,0.055
2016-02-03,US-Twt,1.862,2.125,0.04
2016-02-04,US-Bi1,1.068,2.126,0.023
2016-02-04,US-Bi2,0.872,2.129,0.019
2016-02-04,US-Tw3,1.923,2.13,0.041
2016-02-04,US-Twt,1.446,2.125,0.031
2016-02-05,US-Bi1,1.018,2.126,0.022
2016-02-05,US-Bi2,0.843,2.129,0.018
2016-02-05,US-Tw3,1.923,2.13,0.041
2016-02-05,US-Twt,1.446,2.125,0.031
2016-02-06,US-Bi1,1.022,2.126,0.022
2016-02-06,US-Bi2,0.814,2.129,0.017
2016-02-06,US-Tw3,1.923,2.13,0.041
2016-02-06,US-Twt,1.446,2.125,0.031
2016-02-07,US-Bi1,1.083,2.126,0.023
2016-02-07,US-Bi2,0.829,2.129,0.018
2016-02-07,US-Tw3,2.019,2.13,0.043
2016-02-07,US-Twt,1.518,2.125,0.032
2016-02-08,US-Bi1,1.258,2.126,0.027
2016-02-08,US-Bi2,0.924,2.129,0.02
2016-02-08,US-Tw3,2.5,2.13,0.053
2016-02-08,US-Twt,1.879,2.125,0.04
2016-02-09,US-Bi1,1.091,2.126,0.023
2016-02-09,US-Bi2,0.768,2.129,0.016
2016-02-09,US-Tw3,1.923,2.13,0.041
2016-02-09,US-Twt,1.446,2.125,0.031
2016-02-10,US-Bi1,0.979,2.126,0.021
2016-02-10,US-Bi2,0.659,2.129,0.014
2016-02-10,US-Tw3,1.634,2.13,0.035
2016-02-10,US-Twt,1.229,2.125,0.026
2016-02-11,US-Bi1,0.925,2.126,0.02
2016-02-11,US-Bi2,0.595,2.129,0.013
2016-02-11,US-Tw3,1.634,2.13,0.035
2016-02-11,US-Twt,1.229,2.125,0.026
2016-02-12,US-Bi1,1.118,2.126,0.024
2016-02-12,US-Bi2,0.64,2.129,0.014
2016-02-12,US-Tw3,1.75,2.13,0.037
2016-02-12,US-Twt,1.296,2.125,0.028
2016-02-13,US-Bi1,1.2,2.126,0.026
2016-02-13,US-Bi2,0.678,2.129,0.014
2016-02-13,US-Tw3,1.74,2.13,0.037
2016-02-13,US-Twt,1.286,2.125,0.027
2016-02-14,US-Bi1,1.798,2.126,0.038
2016-02-14,US-Bi2,1.001,2.129,0.021
2016-02-14,US-Tw3,2.55,2.13,0.054
2016-02-14,US-Twt,1.882,2.125,0.04
2016-02-15,US-Bi1,1.175,2.126,0.025
2016-02-15,US-Bi2,0.645,2.129,0.014
2016-02-15,US-Tw3,1.63,2.13,0.035
2016-02-15,US-Twt,1.2,2.125,0.026
2016-02-16,US-Bi1,1.393,2.126,0.03
2016-02-16,US-Bi2,0.754,2.129,0.016
2016-02-16,US-Tw3,1.982,2.13,0.042
2016-02-16,US-Twt,1.456,2.125,0.031
2016-02-17,US-Bi1,1.011,2.126,0.021
2016-02-17,US-Bi2,0.54,2.129,0.011
2016-02-17,US-Tw3,1.344,2.13,0.029
2016-02-17,US-Twt,0.985,2.125,0.021
2016-02-18,US-Bi1,1.575,2.126,0.033
2016-02-18,US-Bi2,0.83,2.129,0.018
2016-02-18,US-Tw3,2.138,2.13,0.046
2016-02-18,US-Twt,1.564,2.125,0.033
2016-02-19,US-Bi1,1.252,2.126,0.027
2016-02-19,US-Bi2,0.651,2.129,0.014
2016-02-19,US-Tw3,1.594,2.13,0.034
2016-02-19,US-Twt,1.164,2.125,0.025
2016-02-20,US-Bi1,1.553,2.126,0.033
2016-02-20,US-Bi2,0.829,2.129,0.018
2016-02-20,US-Tw3,1.849,2.13,0.039
2016-02-20,US-Twt,1.292,2.125,0.027
