time,site,et,hectares,megaliters
2016-01-28,US-Bi1,0.275,2.126,0.006
2016-01-28,US-Bi2,0.517,2.129,0.011
2016-01-28,US-Tw3,0.557,2.13,0.012
2016-01-28,US-Twt,0.77,2.125,0.016
2016-01-29,US-Bi1,0.214,2.126,0.005
2016-01-29,US-Bi2,0.378,2.129,0.008
2016-01-29,US-Tw3,0.356,2.13,0.008
2016-01-29,US-Twt,0.47,2.125,0.01
2016-01-30,US-Bi1,0.481,2.126,0.01
2016-01-30,US-Bi2,0.8,2.129,0.017
2016-01-30,US-Tw3,1.02,2.13,0.022
2016-01-30,US-Twt,1.282,2.125,0.027
2016-01-31,US-Bi1,0.88,2.126,0.019
2016-01-31,US-Bi2,1.382,2.129,0.029
2016-01-31,US-Tw3,1.787,2.13,0.038
2016-01-31,US-Twt,2.142,2.125,0.046
2016-02-01,US-Bi1,1.124,2.126,0.024
2016-02-01,US-Bi2,1.665,2.129,0.035
2016-02-01,US-Tw3,2.084,2.13,0.044
2016-02-01,US-Twt,2.381,2.125,0.051
2016-02-02,US-Bi1,0.937,2.126,0.02
2016-02-02,US-Bi2,1.31,2.129,0.028
2016-02-02,US-Tw3,1.788,2.13,0.038
2016-02-02,US-Twt,1.946,2.125,0.041
2016-02-03,US-Bi1,1.104,2.126,0.023
2016-02-03,US-Bi2,1.458,2.129,0.031
2016-02-03,US-Tw3,2.347,2.13,0.05
2016-02-03,US-Twt,2.433,2.125,0.052
2016-02-04,US-Bi1,0.853,2.126,0.018
2016-02-04,US-Bi2,1.064,2.129,0.023
2016-02-04,US-Tw3,1.774,2.13,0.038
2016-02-04,US-Twt,1.752,2.125,0.037
2016-02-05,US-Bi1,0.771,2.126,0.016
2016-02-05,US-Bi2,0.932,2.129,0.02
2016-02-05,US-Tw3,1.774,2.13,0.038
2016-02-05,US-Twt,1.752,2.125,0.037
2016-02-06,US-Bi1,0.778,2.126,0.017
2016-02-06,US-Bi2,0.799,2.129,0.017
2016-02-06,US-Tw3,1.774,2.13,0.038
2016-02-06,US-Twt,1.752,2.125,0.037
2016-02-07,US-Bi1,0.828,2.126,0.018
2016-02-07,US-Bi2,0.704,2.129,0.015
2016-02-07,US-Tw3,1.863,2.13,0.04
2016-02-07,US-Twt,1.839,2.125,0.039
2016-02-08,US-Bi1,0.967,2.126,0.021
2016-02-08,US-Bi2,0.653,2.129,0.014
2016-02-08,US-Tw3,2.307,2.13,0.049
2016-02-08,US-Twt,2.277,2.125,0.048
2016-02-09,US-Bi1,0.842,2.126,0.018
2016-02-09,US-Bi2,0.425,2.129,0.009
2016-02-09,US-Tw3,1.774,2.13,0.038
2016-02-09,US-Twt,1.752,2.125,0.037
2016-02-10,US-Bi1,0.76,2.126,0.016
2016-02-10,US-Bi2,0.255,2.129,0.005
2016-02-10,US-Tw3,1.508,2.13,0.032
2016-02-10,US-Twt,1.489,2.125,0.032
2016-02-11,US-Bi1,0.722,2.126,0.015
2016-02-11,US-Bi2,0.122,2.129,0.003
2016-02-11,US-Tw3,1.508,2.13,0.032
2016-02-11,US-Twt,1.489,2.125,0.032
2016-02-12,US-Bi1,0.912,2.126,0.019
2016-02-12,US-Bi2,0.005,2.129,0.0
2016-02-12,US-Tw3,1.578,2.13,0.034
2016-02-12,US-Twt,1.576,2.125,0.033
2016-02-13,US-Bi1,0.989,2.126,0.021
2016-02-13,US-Bi2,0.022,2.129,0.0
2016-02-13,US-Tw3,1.565,2.13,0.033
2016-02-13,US-Twt,1.565,2.125,0.033
2016-02-14,US-Bi1,1.498,2.126,0.032
2016-02-14,US-Bi2,0.056,2.129,0.001
